,day,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor
62,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvfrj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvfrj_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvfrj/,,FALSE,,,,,,
60,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvfrj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvfrj_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvfrj/,,FALSE,,,,,,
61,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvfrj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvfrj_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvfrj/,,FALSE,,,,,,
67,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvued,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvued_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvued/,,FALSE,,,,,,
66,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvued,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvued_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvued/,,FALSE,,,,,,
64,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvued,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvued_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvued/,,FALSE,,,,,,
65,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvued,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvued_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvued/,,FALSE,,,,,,
71,2459385-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459385-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459385-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459385-2459388/ZTF21abhjssj/,,FALSE,,,,,,
70,2459385-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459385-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459385-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459385-2459388/ZTF21abhjssj/,,FALSE,,,,,,
68,2459385-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459385-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459385-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459385-2459388/ZTF21abhjssj/,,FALSE,,,,,,
